	Exact																																								
	0	-0.013	-0.025	-0.038	-0.05	-0.062	-0.074	-0.086	-0.098	-0.11	-0.121	-0.132	-0.142	-0.152	-0.162	-0.17	-0.178	-0.184	-0.19	-0.194	-0.195	-0.194	-0.19	-0.184	-0.178	-0.17	-0.162	-0.152	-0.142	-0.132	-0.121	-0.11	-0.098	-0.086	-0.074	-0.062	-0.05	-0.038	-0.025	-0.013	0
	0	-0.015	-0.03	-0.045	-0.06	-0.074	-0.089	-0.103	-0.117	-0.131	-0.144	-0.157	-0.17	-0.181	-0.192	-0.203	-0.212	-0.22	-0.226	-0.231	-0.232	-0.231	-0.226	-0.22	-0.212	-0.203	-0.192	-0.181	-0.17	-0.157	-0.144	-0.131	-0.117	-0.103	-0.089	-0.074	-0.06	-0.045	-0.03	-0.015	0
	0	-0.017	-0.034	-0.051	-0.067	-0.084	-0.1	-0.116	-0.132	-0.148	-0.163	-0.177	-0.191	-0.204	-0.217	-0.229	-0.239	-0.248	-0.255	-0.26	-0.262	-0.26	-0.255	-0.248	-0.239	-0.229	-0.217	-0.204	-0.191	-0.177	-0.163	-0.148	-0.132	-0.116	-0.1	-0.084	-0.067	-0.051	-0.034	-0.017	0
	0	-0.018	-0.037	-0.055	-0.073	-0.091	-0.109	-0.127	-0.144	-0.161	-0.177	-0.193	-0.208	-0.222	-0.236	-0.249	-0.26	-0.27	-0.278	-0.283	-0.285	-0.283	-0.278	-0.27	-0.26	-0.249	-0.236	-0.222	-0.208	-0.193	-0.177	-0.161	-0.144	-0.127	-0.109	-0.091	-0.073	-0.055	-0.037	-0.018	0
	0	-0.02	-0.039	-0.058	-0.078	-0.097	-0.116	-0.134	-0.152	-0.17	-0.188	-0.204	-0.22	-0.236	-0.25	-0.263	-0.275	-0.286	-0.294	-0.3	-0.302	-0.3	-0.294	-0.286	-0.275	-0.263	-0.25	-0.236	-0.22	-0.204	-0.188	-0.17	-0.152	-0.134	-0.116	-0.097	-0.078	-0.058	-0.039	-0.02	0
	0	-0.02	-0.04	-0.06	-0.08	-0.1	-0.119	-0.139	-0.157	-0.176	-0.194	-0.211	-0.228	-0.243	-0.258	-0.272	-0.284	-0.295	-0.304	-0.31	-0.313	-0.31	-0.304	-0.295	-0.284	-0.272	-0.258	-0.243	-0.228	-0.211	-0.194	-0.176	-0.157	-0.139	-0.119	-0.1	-0.08	-0.06	-0.04	-0.02	0
	0	-0.02	-0.041	-0.061	-0.081	-0.101	-0.121	-0.14	-0.159	-0.178	-0.196	-0.213	-0.23	-0.246	-0.261	-0.275	-0.287	-0.298	-0.307	-0.313	-0.316	-0.313	-0.307	-0.298	-0.287	-0.275	-0.261	-0.246	-0.23	-0.213	-0.196	-0.178	-0.159	-0.14	-0.121	-0.101	-0.081	-0.061	-0.041	-0.02	0
	0	-0.02	-0.04	-0.06	-0.08	-0.1	-0.119	-0.139	-0.157	-0.176	-0.194	-0.211	-0.228	-0.243	-0.258	-0.272	-0.284	-0.295	-0.304	-0.31	-0.313	-0.31	-0.304	-0.295	-0.284	-0.272	-0.258	-0.243	-0.228	-0.211	-0.194	-0.176	-0.157	-0.139	-0.119	-0.1	-0.08	-0.06	-0.04	-0.02	0
	0	-0.02	-0.039	-0.058	-0.078	-0.097	-0.116	-0.134	-0.152	-0.17	-0.188	-0.204	-0.22	-0.236	-0.25	-0.263	-0.275	-0.286	-0.294	-0.3	-0.302	-0.3	-0.294	-0.286	-0.275	-0.263	-0.25	-0.236	-0.22	-0.204	-0.188	-0.17	-0.152	-0.134	-0.116	-0.097	-0.078	-0.058	-0.039	-0.02	0
	0	-0.018	-0.037	-0.055	-0.073	-0.091	-0.109	-0.127	-0.144	-0.161	-0.177	-0.193	-0.208	-0.222	-0.236	-0.249	-0.26	-0.27	-0.278	-0.283	-0.285	-0.283	-0.278	-0.27	-0.26	-0.249	-0.236	-0.222	-0.208	-0.193	-0.177	-0.161	-0.144	-0.127	-0.109	-0.091	-0.073	-0.055	-0.037	-0.018	0
	0	-0.017	-0.034	-0.051	-0.067	-0.084	-0.1	-0.116	-0.132	-0.148	-0.163	-0.177	-0.191	-0.204	-0.217	-0.229	-0.239	-0.248	-0.255	-0.26	-0.262	-0.26	-0.255	-0.248	-0.239	-0.229	-0.217	-0.204	-0.191	-0.177	-0.163	-0.148	-0.132	-0.116	-0.1	-0.084	-0.067	-0.051	-0.034	-0.017	0
	0	-0.015	-0.03	-0.045	-0.06	-0.074	-0.089	-0.103	-0.117	-0.131	-0.144	-0.157	-0.17	-0.181	-0.192	-0.203	-0.212	-0.22	-0.226	-0.231	-0.232	-0.231	-0.226	-0.22	-0.212	-0.203	-0.192	-0.181	-0.17	-0.157	-0.144	-0.131	-0.117	-0.103	-0.089	-0.074	-0.06	-0.045	-0.03	-0.015	0
	0	-0.013	-0.025	-0.038	-0.05	-0.062	-0.074	-0.086	-0.098	-0.11	-0.121	-0.132	-0.142	-0.152	-0.162	-0.17	-0.178	-0.184	-0.19	-0.194	-0.195	-0.194	-0.19	-0.184	-0.178	-0.17	-0.162	-0.152	-0.142	-0.132	-0.121	-0.11	-0.098	-0.086	-0.074	-0.062	-0.05	-0.038	-0.025	-0.013	0
	0	-0.01	-0.019	-0.029	-0.039	-0.048	-0.058	-0.067	-0.076	-0.085	-0.094	-0.102	-0.111	-0.118	-0.126	-0.132	-0.138	-0.143	-0.148	-0.15	-0.152	-0.15	-0.148	-0.143	-0.138	-0.132	-0.126	-0.118	-0.111	-0.102	-0.094	-0.085	-0.076	-0.067	-0.058	-0.048	-0.039	-0.029	-0.019	-0.01	0
	0	-0.007	-0.013	-0.02	-0.027	-0.033	-0.04	-0.046	-0.052	-0.059	-0.065	-0.07	-0.076	-0.081	-0.086	-0.091	-0.095	-0.099	-0.102	-0.103	-0.104	-0.103	-0.102	-0.099	-0.095	-0.091	-0.086	-0.081	-0.076	-0.07	-0.065	-0.059	-0.052	-0.046	-0.04	-0.033	-0.027	-0.02	-0.013	-0.007	0
	0	-0.003	-0.007	-0.01	-0.014	-0.017	-0.02	-0.024	-0.027	-0.03	-0.033	-0.036	-0.039	-0.042	-0.044	-0.047	-0.049	-0.051	-0.052	-0.053	-0.053	-0.053	-0.052	-0.051	-0.049	-0.047	-0.044	-0.042	-0.039	-0.036	-0.033	-0.03	-0.027	-0.024	-0.02	-0.017	-0.014	-0.01	-0.007	-0.003	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
